IDEQUIPAMENT,ALIES,NOM,CATEGORIA,TIPUS_VIA,VIA,SUFIX_VIA,2TIPUS_VIA,2VIA,2SUFIX_VIA,NUM,PIS,PORTA,CPOSTAL,POBLACIO,CODI_MUNICIPI,COMARCA,TELEFON1,TELEFON2,FAX,UTMX,UTMY,LONGITUD,LATITUD,EMAIL,WEB,DATA_MODIFICACIO,PROPIETATS,Georeferència
3620688,Hospital de Terrassa,Hospital de Terrassa,Salut|Centres sanitaris|3. Hospitals|,," CT TORREBONICA, S/N",,,,,,,,8227,Terrassa,82798,Vallès Occidental,937310007,,,421097957,4601016772,2.053819999,41.556930000,uac@cst.cat,,07/19/2024 07:54:28 AM,Horari|Urgències i emergències 24 hores.,POINT (2.05382 41.55693)
3620431,Consultori local Bellcaire d'Empordà,Consultori local Bellcaire d'Empordà,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CT TORROELLA, S/N",,,,,,,,17141,Bellcaire d'Empordà,170182,Baix Empordà,972765005,,972 77 20 89,508134587,4658462182,3.098343378,42.078188860,,,07/19/2024 07:55:44 AM,"Horari|dc. de 15 a 20h ,dl. dt. dj. i dv. de 8 a 15h. Amb agenda complementaria  amb  Viladamat i Albons . Fora d'aquest horari, adreçeu-vos al CAP Moises Broggi de l'Escala o a l'Hospital de Figueres. Horari estiu: JULIOL dl. tancat, dt. d'11 a 14, dc. tancat, dj. de 8 a 10:30h, dv. d'11 a 14h.",POINT (3.0983434 42.07819)
3621334,Consultori local Llavorsí,Consultori local Llavorsí,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CT VAL D'ARAN, 31",,,,,,,,25595,Llavorsí,251266,Pallars Sobirà,973622152,,,352975230,4706406072,1.210778653,42.496054874,abssobira.pirineu.ics@gencat.cat,,07/19/2024 07:54:59 AM,"Horari|Truqueu al 061 Salut Respon





",POINT (1.2107786 42.496056)
3621342,Consultori local La Guingueta,Consultori local La Guingueta,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CT VAL D'ARAN, S/N",,,,,,,,25597,"Guingueta d'Àneu, la",259031,Pallars Sobirà,973626555,,,346647782,4717252498,1.130904565,42.592455988,abssobira.pirineu.ics@gencat.cat,,07/19/2024 07:54:59 AM,"Horari|Truqueu al 061 Salut Respon  
",POINT (1.1309046 42.592457)
3624457,"Farmàcia Piqué Vidal, Anna ","Farmàcia Piqué Vidal, Anna ",Salut|Farmàcies||,," CT VALL D'ARAN, 27",,,,,,,,25595,Llavorsí,251266,Pallars Sobirà,973622218,,,352990437,4706407102,1.210963358,42.496067032,,,07/19/2024 07:54:59 AM,,POINT (1.2109634 42.496067)
3622910,"Farmàcia Bueno Andreu, Vicenç","Farmàcia Bueno Andreu, Vicenç",Salut|Farmàcies||,," CT VALLS, 72",,,,,,,,43700,"Vendrell, el",431634,Baix Penedès,977661656,,,377227853,4564718189,1.535230227,41.224542129,,,07/19/2024 07:55:17 AM,,POINT (1.5352303 41.22454)
3620293,Consultori local Marca de l'Ham,Consultori local Marca de l'Ham,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CT VELLA DE VILATENIM A FIGUERES, S/N",,,,,,,,17600,Figueres,170669,Alt Empordà,972514055,,,496772728,4679445300,2.960867437,42.267206584,eap.figueres@pgirona.scs.es,,07/19/2024 07:55:46 AM,"Horari|dl. dt. dj. i dv. de 8 a 15h, dc. 13 a 20h Fora d'aquest horari truqueu al 061 Salut Respon o adreceu-vos al al CAP Ernest Lluch de Figueres de dl. a dv. de 8 a 20 h o a l'Hospital de Figueres
",POINT (2.9608674 42.26721)
3621452,"Farmàcia Mas López, Núria","Farmàcia Mas López, Núria",Salut|Farmàcies||,," CT VELLA, 174",,,,,,,,8470,Sant Celoni,82021,Vallès Oriental,938484076,,,458034773,4615578768,2.495715442,41.690880212,,,07/19/2024 07:54:23 AM,,POINT (2.4957154 41.69088)
3624862,"Farmàcia Cardona Vigas, Carles i Jordi","Farmàcia Cardona Vigas, Carles i Jordi",Salut|Centres sanitaris|7. Centres amb intercanvi de xeringues|Salut|Farmàcies||,," CT VELLA, 20",,,,,,,,8470,Sant Celoni,82021,Vallès Oriental,938670648,,,457472254,4615123851,2.488988495,41.686753004,,,07/19/2024 07:54:24 AM,,POINT (2.4889884 41.686752)
3623972,"Farmàcia Cano Arribi, Pau","Farmàcia Cano Arribi, Pau",Salut|Farmàcies||,," CT VELLA, SN",,,,,,,,17539,Ger,170789,Cerdanya,972147059,,,405192922,4695947656,1.847811104,42.410045153,,,07/19/2024 07:55:03 AM,,POINT (1.8478111 42.410046)
3623928,"Farmàcia Marce Badosa, Núria","Farmàcia Marce Badosa, Núria",Salut|Farmàcies||,," CT VILA-SACRA, 3",,,,,,,,17469,Fortià,170741,Alt Empordà,972953405,,,502577791,4676721048,3.031245109,42.242673662,,,07/19/2024 07:55:46 AM,,POINT (3.031245 42.242672)
3619744,Consultori local Puigpelat,Consultori local Puigpelat,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CT VILABELLA, S/N",,,,,,,,43812,Puigpelat,431191,Alt Camp,977602240,,,357997553,4570462603,1.304550062,41.273117864,,,07/19/2024 07:56:01 AM,"Horari|Medicina familiar i comunitària: Dll, Dm, Dc i Dv: 11.30 a 15. Dj: 09.30 a 11

Estiu: DILLUNS, DIMECRES I DIVENDRES DE 12 A 14

Infermeria: Dll, Dm, Dc i Dv: 11.30 a 15. Dj: 8 a 11

Estiu:  DILLUNS I DIMECRES DE 12 A 14, DIJOUS DE 8 A 11


",POINT (1.30455 41.273117)
415354,Centre de dia Caser Residencial Castell d'Oliana                                                    ,Centre de dia Caser Residencial Castell d'Oliana                                                    ,Serveis socials especialitzats|Serveis adreçats a persones grans amb dependència o risc social|Servei de centre de dia per a gent gran de caràcter temporal o permanent|,, Ctr. Artesa de Segre,"Adrall Km., 143                 ",,,,,,,25790,Oliana,251497,Alt Urgell,973463030,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:31:42 AM,,
415042,Caser Residencial Castell d'Oliana                                                                  ,Caser Residencial Castell d'Oliana                                                                  ,Serveis socials especialitzats|Serveis adreçats a persones grans amb dependència o risc social|Servei de residència assistida per a gent gran de caràcter temporal o permanent|,, Ctr. Artesa de Segre,Adrall Km.143                   ,,,,,,,25790,Oliana,251497,Alt Urgell,973463030,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:31:50 AM,,
416961,Llar Residència Malalts Mentals Caser                                                               ,Llar Residència Malalts Mentals Caser                                                               ,Serveis socials especialitzats|Serveis adreçats a persones amb problemàtica social derivada de malaltia mental|Servei de llar residència temporal o permanent per a persones amb problemàtica social derivada de malaltia mental|,, Ctr. Artesa de Segre,"Adrall, Km 143                  ",,,,,,,25790,Oliana,251497,Alt Urgell,973463030,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:31:16 AM,,
418650,Servei d'ajuda domiciliària Caser Residencial Castell d'Oliana                                      ,Servei d'ajuda domiciliària Caser Residencial Castell d'Oliana                                      ,Serveis socials bàsics|Servei d'ajuda a domicili||,, Ctr. Artesa de Segre,"Adrall, Km 143                  ",,,,,,,25790,Oliana,251497,Alt Urgell,973463030,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:30:39 AM,,
414853,Centre de dia de la Residència el Mirador de l'Estany                                               ,Centre de dia de la Residència el Mirador de l'Estany                                               ,Serveis socials especialitzats|Serveis adreçats a persones grans amb dependència o risc social|Servei de centre de dia per a gent gran de caràcter temporal o permanent|,," Ctr. Banyoles a Figueres, Km 1,5                       ",,,,,,,,17820,Banyoles,170157,Pla de l'Estany,972580463,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:31:47 AM,,
417359,Residència el Mirador de l'Estany                                                                   ,Residència el Mirador de l'Estany                                                                   ,Serveis socials especialitzats|Serveis adreçats a persones grans amb dependència o risc social|Servei de residència assistida per a gent gran de caràcter temporal o permanent|,," Ctr. Banyoles a Figueres, Km 1,5                       ",,,,,,,,17820,Banyoles,170157,Pla de l'Estany,972580463,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:31:01 AM,,
416507,Fiss Girona                                                                                         ,Fiss Girona                                                                                         ,Serveis socials bàsics|Servei d'ajuda a domicili||,," Ctr. Barcelona, 12-14, 4rt 1ª                          ",,,,,,,,17001,Girona,170792,Gironès,872210417,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:31:24 AM,,
415828,Centre de Dia Anna Serra                                                                            ,Centre de Dia Anna Serra                                                                            ,Serveis socials especialitzats|Serveis adreçats a persones grans amb dependència o risc social|Servei de centre de dia per a gent gran de caràcter temporal o permanent|,," Ctr. Barcelona, nº 12                                  ",,,,,,,,43700,"Vendrell, el",431634,Baix Penedès,977660924,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:31:35 AM,,
417734,"Residència per a persones disminuïdes psíquiques ""Garbí""                                            ","Residència per a persones disminuïdes psíquiques ""Garbí""                                            ",Serveis socials especialitzats|Serveis adreçats a persones amb discapacitat intel·lectual|Servei de centre residencial temporal o permanent per a persones amb discapacitat intel·lectual|,," Ctr. Bellisens, s/n (""Mas Plana"")                      ",,,,,,,,43204,Reus,431233,Baix Camp,977392343,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:30:58 AM,,
417735,"Residència per a persones disminuïdes psíquiques ""Mar i Cel""                                        ","Residència per a persones disminuïdes psíquiques ""Mar i Cel""                                        ",Serveis socials especialitzats|Serveis adreçats a persones amb discapacitat intel·lectual|Servei de centre residencial temporal o permanent per a persones amb discapacitat intel·lectual|,," Ctr. Bellisens, s/n (""Mas Plana"")                      ",,,,,,,,43204,Reus,431233,Baix Camp,977390011,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:30:58 AM,,
417736,"Residència per a persones disminuïdes psíquiques ""Mestral""                                          ","Residència per a persones disminuïdes psíquiques ""Mestral""                                          ",Serveis socials especialitzats|Serveis adreçats a persones amb discapacitat intel·lectual|Servei de centre residencial temporal o permanent per a persones amb discapacitat intel·lectual|,," Ctr. Bellisens, s/n (""Mas Plana"")                      ",,,,,,,,43204,Reus,431233,Baix Camp,977392343,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:30:58 AM,,
417737,Residència per a Disminuïts El Bosc                                                                 ,Residència per a Disminuïts El Bosc                                                                 ,Serveis socials especialitzats|Serveis adreçats a persones amb discapacitat intel·lectual|Servei de centre residencial temporal o permanent per a persones amb discapacitat intel·lectual|,," Ctr. Bellisens, s/n (""Mas Plana"")                      ",,,,,,,,43204,Reus,431233,Baix Camp,977390011,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:30:58 AM,,
419683,Servei ocupacional d'inserció Taller Coloma                                                         ,Servei ocupacional d'inserció Taller Coloma                                                         ,Serveis socials especialitzats|Serveis adreçats a persones amb discapacitat intel·lectual|Servei de centre de dia ocupacional d'inserció per a persones amb discapacitat intel·lectual (SOI)|,," Ctr. Berga a Solsona, Km 5 (Can Coloma)                ",,,,,,,,8600,Avià,80116,Berguedà,938230375,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:29:56 AM,,
414727,Activitats Terapèutiques amb Cavalls (Disc. Físics)                                                 ,Activitats Terapèutiques amb Cavalls (Disc. Físics)                                                 ,Serveis socials especialitzats|Altres prestacions de serveis: serveis experimentals|Servei experimental (Servei de centre d'acollida diürna)|,," Ctr. BV 1433, Km 1,5                                   ",,,,,,,,8480,"Ametlla del Vallès, l'",80057,Vallès Oriental,606967085,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:31:55 AM,,
414728,Activitats Terapèutiques amb Cavalls (Disc. Inte.lectual)                                           ,Activitats Terapèutiques amb Cavalls (Disc. Inte.lectual)                                           ,Serveis socials especialitzats|Serveis adreçats a persones amb discapacitat intel·lectual|Servei de temps lliure per a persones amb discapacitat intel·lectual|,," Ctr. BV 1433, Km 1,5                                   ",,,,,,,,8480,"Ametlla del Vallès, l'",80057,Vallès Oriental,606967085,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:31:55 AM,,
415100,"Centre de dia ""El Raco""                                                                             ","Centre de dia ""El Raco""                                                                             ",Serveis socials especialitzats|Serveis adreçats a persones grans amb dependència o risc social|Servei de centre de dia per a gent gran de caràcter temporal o permanent|,," Ctr. BV-5108, Km. 3,5 de Cardedeu a Cànoves            ",,,,,,,,8440,Cardedeu,80462,Vallès Oriental,938454765,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:31:48 AM,,
416891,"Llar-Residéncia ""El Racó""                                                                           ","Llar-Residéncia ""El Racó""                                                                           ",Serveis socials especialitzats|Serveis adreçats a persones grans amb dependència o risc social|Servei de residència assistida per a gent gran de caràcter temporal o permanent|,," Ctr. BV-5108, Km.3'5 de Cardedeu a Cànoves             ",,,,,,,,8440,Cardedeu,80462,Vallès Oriental,938454765,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:31:14 AM,,
6945323,Club Social Map                                                                                     ,Club Social Map                                                                                     ,Serveis socials especialitzats|Serveis adreçats a persones amb problemàtica social derivada de malaltia mental|Servei de club social (mòdul A / mòdul B)|,, Ctr. C 26 KM. 126 (Ronda Mas d'en Bosch-Can Guetes)    ,,,,,,,,17500,Ripoll,171479,Ripollès,972703104,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:31:28 AM,,
418360,Residencia para la Tercera Edad Sant Roc                                                            ,Residencia para la Tercera Edad Sant Roc                                                            ,Serveis socials especialitzats|Serveis adreçats a persones grans amb dependència o risc social|Servei de residència assistida per a gent gran de caràcter temporal o permanent|,," Ctr. C-1313, Km 11'7                                   ",,,,,,,,25690,Vilanova de la Barca,252542,Segrià,973190011,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:30:46 AM,,
417767,Residència Cantonigròs                                                                              ,Residència Cantonigròs                                                                              ,Serveis socials especialitzats|Serveis adreçats a persones grans amb dependència o risc social|Servei de residència assistida per a gent gran de caràcter temporal o permanent|,," Ctr. C-153, Km 25                                      ",,,,,,,,8511,"Esquirol, l'",82541,Osona,938525035,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:30:56 AM,,
417320,Residència de Gent Gran Sils (servei de centre de dia)                                              ,Residència de Gent Gran Sils (servei de centre de dia)                                              ,Serveis socials especialitzats|Serveis adreçats a persones grans amb dependència o risc social|Servei de centre de dia per a gent gran de caràcter temporal o permanent|,," Ctr. C-555, Km 2,3 (Camp de l'Hostal-Mallorquines)     ",,,,,,,,17410,Sils,171931,Selva,972168712,,               ,477770676,4629624021,2.732347700,41.818181100,,,07/18/2024 07:31:02 AM,,POINT (2.7323477 41.81818)
417319,Residència de Gent Gran Sils                                                                        ,Residència de Gent Gran Sils                                                                        ,Serveis socials especialitzats|Serveis adreçats a persones grans amb dependència o risc social|Servei de residència assistida per a gent gran de caràcter temporal o permanent|,," Ctr. C-555, Km 2,3 (Camps de l'Hostal-Mallorquines)    ",,,,,,,,17410,Sils,171931,Selva,972168712,,               ,477770676,4629624021,2.732347700,41.818181100,,,07/18/2024 07:31:02 AM,,POINT (2.7323477 41.81818)
414905,Centre de dia de la Residència Cambrils Suite                                                       ,Centre de dia de la Residència Cambrils Suite                                                       ,Serveis socials especialitzats|Serveis adreçats a persones grans amb dependència o risc social|Servei de centre de dia per a gent gran de caràcter temporal o permanent|,," Ctr. Cambrils a Montbrió, Km 3                         ",,,,,,,,43850,Cambrils,430385,Baix Camp,977793250,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:31:47 AM,,
418631,Servei d'ajuda domiciliària Cambrils Suite                                                          ,Servei d'ajuda domiciliària Cambrils Suite                                                          ,Serveis socials bàsics|Servei d'ajuda a domicili||,," Ctr. Cambrils a Montbrió, Km 3                         ",,,,,,,,43850,Cambrils,430385,Baix Camp,977793250,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:30:39 AM,,
417721,Residència Cambrils Suite                                                                           ,Residència Cambrils Suite                                                                           ,Serveis socials especialitzats|Serveis adreçats a persones grans amb dependència o risc social|Servei de residència assistida per a gent gran de caràcter temporal o permanent|,," Ctr. Cambrils a Montbrió, Km 3                         ",,,,,,,,43850,Cambrils,430385,Baix Camp,977793250,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:30:56 AM,,
417980,Residència Palau de les Franqueses                                                                  ,Residència Palau de les Franqueses                                                                  ,Serveis socials especialitzats|Serveis adreçats a persones grans amb dependència o risc social|Servei de residència assistida per a gent gran de caràcter temporal o permanent|,," Ctr. Cànoves, Km 1,5                                   ",,,,,,,,8520,"Franqueses del Vallès, les",80863,Vallès Oriental,938401015,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:30:50 AM,,
418726,Servei d'ajuda domiciliària Palau de les Franqueses                                                 ,Servei d'ajuda domiciliària Palau de les Franqueses                                                 ,Serveis socials bàsics|Servei d'ajuda a domicili||,," Ctr. Cànoves, Km 1,5                                   ",,,,,,,,8520,"Franqueses del Vallès, les",80863,Vallès Oriental,938401015,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:30:38 AM,,
414970,Centre de Desenvolupament Infantil i Atenció Precoç Baix Camp i Priorat                             ,Centre de Desenvolupament Infantil i Atenció Precoç Baix Camp i Priorat                             ,Serveis socials especialitzats|Serveis comuns adreçats a persones amb discapacitat|Servei d'atenció precoç|,," Ctr. Castellvell, 16                                   ",,,,,,,,43206,Reus,431233,Baix Camp,977328211,,               ,340922719,4558289118,1.103953700,41.160338500,,,07/18/2024 07:31:35 AM,,POINT (1.1039537 41.16034)
419379,Servei de transport adaptat de l'Ajuntament de Mont-Roig del Camp                                   ,Servei de transport adaptat de l'Ajuntament de Mont-Roig del Camp                                   ,Serveis socials especialitzats|Serveis adreçats a persones amb dependència|Servei de transport adaptat|,," Ctr. Colldejou, s/n                                    ",,,,,,,,43300,Mont-roig del Camp,430923,Baix Camp,977837553,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:30:17 AM,,
414901,Centre de dia de la Residència per a la Tercera Edat Sant Roc                                       ,Centre de dia de la Residència per a la Tercera Edat Sant Roc                                       ,Serveis socials especialitzats|Serveis adreçats a persones grans amb dependència o risc social|Servei de centre de dia per a gent gran de caràcter temporal o permanent|,," Ctr. Comarcal, C-1313, km 11,7                         ",,,,,,,,25690,Vilanova de la Barca,252542,Segrià,973190011,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:31:47 AM,,
414983,Centre de dia per a disminuïts psíquics profunds Can Serra - ICASS                                  ,Centre de dia per a disminuïts psíquics profunds Can Serra - ICASS                                  ,Serveis socials especialitzats|Serveis adreçats a persones amb discapacitat intel·lectual|Servei de centre de dia d'atenció especialitzada temporal o permanent per a persones amb discapacitat intel·lectual|,," Ctr. d'Esplugues, s/n                                  ",,,,,,,,8906,"Hospitalet de Llobregat, l'",81017,Barcelonès,934373409,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:31:45 AM,,
417759,Residència per a Disminuïts Psíquics Profunds Can Serra                                             ,Residència per a Disminuïts Psíquics Profunds Can Serra                                             ,Serveis socials especialitzats|Serveis adreçats a persones amb discapacitat intel·lectual|Servei de centre residencial temporal o permanent per a persones amb discapacitat intel·lectual|,," Ctr. d'Esplugues, s/n                                  ",,,,,,,,8906,"Hospitalet de Llobregat, l'",81017,Barcelonès,934373409,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:30:58 AM,,
417618,Residència La Maresma (servei de residència assistida)                                              ,Residència La Maresma (servei de residència assistida)                                              ,Serveis socials especialitzats|Serveis adreçats a persones grans amb dependència o risc social|Servei de residència assistida per a gent gran de caràcter temporal o permanent|,," Ctr. d'Hortsavinya, Km 1'2                             ",,,,,,,,8370,Calella,80351,Maresme,937692969,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:30:53 AM,,
417617,Residència La Maresma (servei de llar residència)                                                   ,Residència La Maresma (servei de llar residència)                                                   ,Serveis socials especialitzats|Serveis adreçats a persones grans amb dependència o risc social|Servei de llar residència per a gent gran de caràcter temporal o permanent|,," Ctr. d'Hortsavinyà, Km 1'2                             ",,,,,,,,8370,Calella,80351,Maresme,937692969,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:30:53 AM,,
416540,Domia Serveis                                                                                       ,Domia Serveis                                                                                       ,Serveis socials bàsics|Servei d'ajuda a domicili||,," Ctr. de Barcelona, 15, ent                             ",,,,,,,,17001,Girona,170792,Gironès,972225905,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:31:27 AM,,
420190,Tutela Persones Discapacitades ACPAM                                                                ,Tutela Persones Discapacitades ACPAM                                                                ,Serveis socials especialitzats|Serveis adreçats a persones amb discapacitat intel·lectual|Servei de tutela per a persones amb discapacitat intel·lectual|,," Ctr. de Barcelona, 74, bxs                             ",,,,,,,,17500,Ripoll,171479,Ripollès,972704540,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:29:45 AM,,
698906,Servei de tuteles per a persones discapacitades                                                     ,Servei de tuteles per a persones discapacitades                                                     ,Serveis socials especialitzats|Serveis adreçats a persones amb problemàtica social derivada de malaltia mental|Servei de tutela per a persones amb malaltia mental|,," Ctr. de Barcelona, 74, bxs                             ",,,,,,,,17500,Ripoll,171479,Ripollès,972704540,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:30:06 AM,,
698807,Servei de tutela per a gent gran                                                                    ,Servei de tutela per a gent gran                                                                    ,Serveis socials especialitzats|Serveis adreçats a persones grans amb dependència o risc social|Servei de tutela per a gent gran|,," Ctr. de Barcelona, 74, bxs                             ",,,,,,,,17500,Ripoll,171479,Ripollès,972704540,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:30:12 AM,,
415037,Centre de dia per a gent gran de Bellpuig                                                           ,Centre de dia per a gent gran de Bellpuig                                                           ,Serveis socials especialitzats|Serveis adreçats a persones grans amb dependència o risc social|Servei de centre de dia per a gent gran de caràcter temporal o permanent|,," Ctr. de Belianes, s/n                                  ",,,,,,,,25250,Bellpuig,250501,Urgell,973322109,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:31:45 AM,,
417545,Residència assistida de Bellpuig                                                                    ,Residència assistida de Bellpuig                                                                    ,Serveis socials especialitzats|Serveis adreçats a persones grans amb dependència o risc social|Servei de residència assistida per a gent gran de caràcter temporal o permanent|,," Ctr. de Belianes, s/n                                  ",,,,,,,,25250,Bellpuig,250501,Urgell,973322109,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:31:08 AM,,
414770,Centre d'atenció especialitzada per a disminuïts psíquics Marinada                                  ,Centre d'atenció especialitzada per a disminuïts psíquics Marinada                                  ,Serveis socials especialitzats|Serveis adreçats a persones amb discapacitat intel·lectual|Servei de centre de dia d'atenció especialitzada temporal o permanent per a persones amb discapacitat intel·lectual|,," Ctr. de Cambrils, Km 5                                 ",,,,,,,,43201,Reus,431233,Baix Camp,977750193,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:31:49 AM,,
417909,Residència per a disminuïts psíquics profunds Marinada                                              ,Residència per a disminuïts psíquics profunds Marinada                                              ,Serveis socials especialitzats|Serveis adreçats a persones amb discapacitat intel·lectual|Servei de centre residencial temporal o permanent per a persones amb discapacitat intel·lectual|,," Ctr. de Cambrils, s/n                                  ",,,,,,,,43201,Reus,431233,Baix Camp,977750193,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:30:58 AM,,
417063,Mas Casadevall I                                                                                    ,Mas Casadevall I                                                                                    ,Serveis socials especialitzats|Serveis adreçats a persones amb discapacitat intel·lectual|Servei de centre residencial temporal o permanent per a persones amb discapacitat intel·lectual|,," Ctr. De Camós, 51-53                                   ",,,,,,,,17820,Banyoles,170157,Pla de l'Estany,972580189,,               ,480879384,4662325394,2.768715000,42.112792000,,,07/18/2024 07:31:14 AM,,POINT (2.768715 42.112793)
416310,Guttman Serveis Integrals a Domicili                                                                ,Guttman Serveis Integrals a Domicili                                                                ,Serveis socials bàsics|Servei d'ajuda a domicili||,," Ctr. de Can Ruti, s/n                                  ",,,,,,,,8027,Barcelona,80193,Barcelonès,934977700,,               ,436344938,4592456172,2.237547300,41.481187000,,,07/18/2024 07:31:24 AM,,POINT (2.2375474 41.481186)
417517,Residència de disminuïts Badalona Can Ruti (Badalona)                                               ,Residència de disminuïts Badalona Can Ruti (Badalona)                                               ,Serveis socials especialitzats|Serveis adreçats a persones amb discapacitat intel·lectual|Servei de centre residencial temporal o permanent per a persones amb discapacitat intel·lectual|,," Ctr. de Can Ruti, s/n                                  ",,,,,,,,8916,Badalona,80155,Barcelonès,933954406,,               ,436344938,4592456172,2.237547300,41.481187000,,,07/18/2024 07:31:03 AM,,POINT (2.2375474 41.481186)
416187,Centro de día Maranatha de Cardedeu                                                                 ,Centro de día Maranatha de Cardedeu                                                                 ,Serveis socials especialitzats|Serveis adreçats a persones grans amb dependència o risc social|Servei de centre de dia per a gent gran de caràcter temporal o permanent|,," Ctr. de Cànoves, Km 2,5 (Can Julià Gros)               ",,,,,,,,8440,Cardedeu,80462,Vallès Oriental,938452287,,               ,445730989,4614948153,2.347929800,41.684456700,,,07/18/2024 07:31:30 AM,,POINT (2.3479297 41.684456)
418330,Residencia de Ancianos Maranatha de Cardedeu (servei de residència assistida)                       ,Residencia de Ancianos Maranatha de Cardedeu (servei de residència assistida)                       ,Serveis socials especialitzats|Serveis adreçats a persones grans amb dependència o risc social|Servei de residència assistida per a gent gran de caràcter temporal o permanent|,," Ctr. de Cànoves, Km 2,5 (Can Julià Gros)               ",,,,,,,,8440,Cardedeu,80462,Vallès Oriental,938452287,,               ,445730989,4614948153,2.347929800,41.684456700,,,07/18/2024 07:30:46 AM,,POINT (2.3479297 41.684456)
414771,Centre d'atenció especialitzada per a disminuïts Can Ruti                                           ,Centre d'atenció especialitzada per a disminuïts Can Ruti                                           ,Serveis socials especialitzats|Serveis adreçats a persones amb discapacitat intel·lectual|Servei de centre de dia d'atenció especialitzada temporal o permanent per a persones amb discapacitat intel·lectual|,," Ctr. de Cant Ruti, s/n                                 ",,,,,,,,8916,Badalona,80155,Barcelonès,933954406,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:31:49 AM,,
416597,"Equus, Centre Català d'Equinoteràpia i Escola d'Equitació                                           ","Equus, Centre Català d'Equinoteràpia i Escola d'Equitació                                           ",Serveis socials especialitzats|Serveis adreçats a persones amb discapacitat intel·lectual|Servei de temps lliure per a persones amb discapacitat intel·lectual|,," Ctr. de Cerdanyola a Sant Cugat, Km 0                  ",,,,,,,,8290,Cerdanyola del Vallès,82665,Vallès Occidental,               ,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:31:26 AM,,
420070,SAD Geroconsultors                                                                                  ,SAD Geroconsultors                                                                                  ,Serveis socials bàsics|Servei d'ajuda a domicili||,," Ctr. de Figueres, Km 1'5                               ",,,,,,,,17820,Banyoles,170157,Pla de l'Estany,639909745,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:29:49 AM,,
419715,"Servei Residencial per a persones amb retard mental i problemes greus de conducta ""Can Font""de Llorà","Servei Residencial per a persones amb retard mental i problemes greus de conducta ""Can Font""de Llorà",Serveis socials especialitzats|Serveis adreçats a persones amb discapacitat intel·lectual|Servei de centre residencial temporal o permanent per a persones amb discapacitat intel·lectual|,, Ctr. de Girona a les Planes                            ,,,,,,,,17153,Sant Martí de Llémena,171729,Gironès,972413445,,               ,0,0,0.000000000,0.000000000,,,07/18/2024 07:29:54 AM,,
